Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Bosnia and Herzegovina,Clothes,Online,M,2013-10-14,919133651,11/4/2013,927,109.28,35.84,101302.56,33223.68,68078.88
Europe,Austria,Cereal,Offline,C,2014-08-13,987410676,9/6/2014,5616,205.7,117.11,1155211.2,657689.76,497521.44
Europe,Estonia,Fruits,Online,L,2016-09-28,579463422,11/1/2016,4958,9.33,6.92,46258.14,34309.36,11948.78
Europe,Montenegro,Fruits,Offline,L,2016-05-29,313705861,7/10/2016,1390,9.33,6.92,12968.7,9618.8,3349.9
Europe,Switzerland,Meat,Online,L,2014-03-21,169378983,4/10/2014,1860,421.89,364.69,784715.4,678323.4,106392.0
Europe,Finland,Beverages,Online,H,2012-03-16,566428315,3/23/2012,7581,47.45,31.79,359718.45,240999.99,118718.46
Europe,Belgium,Snacks,Online,M,2015-01-12,519380223,1/17/2015,5005,152.58,97.44,763662.9,487687.2,275975.7
Europe,San Marino,Office Supplies,Online,H,2014-04-13,904589211,5/4/2014,6905,651.21,524.96,4496605.05,3624848.8,871756.25
Europe,Bosnia and Herzegovina,Baby Food,Online,C,2015-04-04,184412229,4/7/2015,531,255.28,159.42,135553.68,84652.02,50901.66
Europe,Netherlands,Meat,Offline,M,2017-03-08,747774398,4/3/2017,1916,421.89,364.69,808341.24,698746.04,109595.2
Europe,Russia,Household,Online,M,2017-07-10,194176757,8/20/2017,72,668.27,502.54,48115.44,36182.88,11932.56
Europe,Bosnia and Herzegovina,Meat,Online,H,2012-07-24,410740888,9/1/2012,6211,421.89,364.69,2620358.79,2265089.59,355269.2
Europe,Serbia,Beverages,Online,L,2012-09-03,599624192,9/21/2012,978,47.45,31.79,46406.1,31090.62,15315.48
Europe,Portugal,Office Supplies,Online,M,2014-01-21,734318292,3/4/2014,9956,651.21,524.96,6483446.76,5226501.76,1256945.0
Europe,Poland,Household,Offline,L,2017-07-07,232196319,8/4/2017,905,668.27,502.54,604784.35,454798.7,149985.65
Europe,Liechtenstein,Cosmetics,Online,L,2012-07-15,229693067,7/15/2012,138,437.2,263.33,60333.6,36339.54,23994.06
Europe,United Kingdom,Beverages,Online,C,2017-04-08,121945512,4/12/2017,5242,47.45,31.79,248732.9,166643.18,82089.72
Europe,Slovenia,Fruits,Online,H,2012-10-22,169799983,11/20/2012,6443,9.33,6.92,60113.19,44585.56,15527.63
Europe,Malta,Vegetables,Online,M,2014-03-11,894589078,4/10/2014,7643,154.06,90.93,1177480.58,694977.99,482502.59
Europe,Cyprus,Fruits,Offline,M,2015-07-12,600515115,8/30/2015,4622,9.33,6.92,43123.26,31984.24,11139.02
Europe,Poland,Office Supplies,Offline,M,2015-11-27,208365428,12/29/2015,8815,651.21,524.96,5740416.15,4627522.4,1112893.75
Europe,Monaco,Personal Care,Online,L,2014-06-08,263098371,7/4/2014,5509,81.73,56.67,450250.57,312195.03,138055.54
Europe,Norway,Cereal,Online,M,2014-10-08,100640618,10/18/2014,650,205.7,117.11,133705.0,76121.5,57583.5
Europe,Bulgaria,Snacks,Offline,L,2017-03-11,476991450,3/27/2017,1225,152.58,97.44,186910.5,119364.0,67546.5
Europe,Denmark,Beverages,Online,H,2016-06-05,973268353,6/26/2016,589,47.45,31.79,27948.05,18724.31,9223.74
Europe,Finland,Vegetables,Offline,L,2013-02-14,771674382,3/21/2013,4453,154.06,90.93,686029.18,404911.29,281117.89
Europe,Lithuania,Cosmetics,Offline,L,2012-01-06,420875346,2/18/2012,5223,437.2,263.33,2283495.6,1375372.59,908123.01
Europe,Albania,Vegetables,Online,C,2012-10-05,476633536,11/3/2012,5310,154.06,90.93,818058.6,482838.3,335220.3
Europe,Cyprus,Vegetables,Offline,C,2014-07-02,727997720,7/19/2014,9558,154.06,90.93,1472505.48,869108.94,603396.54
Europe,Moldova ,Personal Care,Online,M,2013-03-11,467045819,4/12/2013,8092,81.73,56.67,661359.16,458573.64,202785.52
Europe,Kosovo,Cosmetics,Offline,C,2012-11-01,813973891,11/13/2012,1818,437.2,263.33,794829.6,478733.94,316095.66
Europe,Albania,Cosmetics,Offline,L,2016-09-30,576944720,10/9/2016,9619,437.2,263.33,4205426.8,2532971.27,1672455.53
Europe,Portugal,Baby Food,Online,L,2015-08-03,404789817,9/8/2015,5157,255.28,159.42,1316478.96,822128.94,494350.02
Europe,Bosnia and Herzegovina,Baby Food,Online,C,2014-04-30,871923768,5/30/2014,474,255.28,159.42,121002.72,75565.08,45437.64
Europe,Kosovo,Vegetables,Offline,C,2012-12-18,818976962,12/21/2012,2337,154.06,90.93,360038.22,212503.41,147534.81
Europe,Switzerland,Cosmetics,Online,C,2017-07-20,233811223,7/20/2017,8792,437.2,263.33,3843862.4,2315197.36,1528665.04
Europe,Lithuania,Office Supplies,Offline,C,2016-12-15,112330758,1/11/2017,22,651.21,524.96,14326.62,11549.12,2777.5
Europe,Montenegro,Office Supplies,Offline,H,2014-07-02,256095016,8/21/2014,3061,651.21,524.96,1993353.81,1606902.56,386451.25
Europe,France,Meat,Online,L,2015-11-28,245440852,12/17/2015,257,421.89,364.69,108425.73,93725.33,14700.4
Europe,Latvia,Snacks,Online,C,2017-03-15,972981679,4/9/2017,5755,152.58,97.44,878097.9,560767.2,317330.7
Europe,Norway,Personal Care,Offline,M,2012-06-08,594813811,6/17/2012,7480,81.73,56.67,611340.4,423891.6,187448.8
Europe,Estonia,Clothes,Online,H,2012-09-08,176722657,9/16/2012,5016,109.28,35.84,548148.48,179773.44,368375.04
Europe,Portugal,Cereal,Online,C,2015-08-11,615080583,9/19/2015,4868,205.7,117.11,1001347.6,570091.48,431256.12
Europe,Netherlands,Household,Offline,C,2014-01-17,990774810,2/18/2014,1138,668.27,502.54,760491.26,571890.52,188600.74
Europe,Kosovo,Fruits,Online,C,2012-03-02,899868094,3/26/2012,9821,9.33,6.92,91629.93,67961.32,23668.61
Europe,Germany,Baby Food,Offline,L,2017-01-06,361311852,2/15/2017,9061,255.28,159.42,2313092.08,1444504.62,868587.46
Europe,Hungary,Beverages,Online,L,2014-05-20,930136287,6/21/2014,6852,47.45,31.79,325127.4,217825.08,107302.32
Europe,Bulgaria,Cosmetics,Online,C,2012-05-05,179819428,6/2/2012,1420,437.2,263.33,620824.0,373928.6,246895.4
